time, x, y, z
0.00000, -0.10938, -4.89844, -1.66406 
0.00031, 0.80469, -8.23438, -0.80469 
0.00063, 1.10938, -9.05469, 1.71875 
0.00094, 0.44531, -4.00000, 3.67969 
0.00125, 1.03125, 1.16406, 3.24219 
0.00156, -0.18750, 7.39844, 3.42969 
0.00187, -0.59375, 9.27344, 1.54688 
0.00219, -0.75000, 7.08594, -0.07031 
0.00250, -0.75000, 1.89844, -1.36719 
0.00281, -0.30469, -4.46875, -1.51562 
0.00313, 1.05469, -8.46094, -1.17969 
0.00344, 0.57812, -9.35156, 1.17188 
0.00375, 1.36719, -4.75000, 3.07812 
0.00406, -0.35156, 0.51562, 4.54688 
0.00438, 0.85156, 6.92188, 2.71875 
0.00469, 0.85156, 6.92188, 2.71875 
0.00500, 0.85156, 6.92188, 2.71875 
0.00531, 0.85156, 6.92188, 2.71875 
0.00562, 0.85156, 6.92188, 2.71875 
0.00594, -0.04688, -3.53125, -1.71094 
0.00625, 0.21094, -8.14844, -0.76562 
0.00656, 1.03125, -9.15625, 0.31250 
0.00688, 0.99219, -5.65625, 2.69531 
0.00719, 1.20312, -0.46094, 3.46875 
0.00750, -0.42188, 6.44531, 4.12500 
0.00781, -0.92969, 8.85938, 2.75000 
0.00813, 0.08594, 8.30469, -0.90625 
0.00844, -1.57031, 3.19531, -1.46875 
0.00875, 0.96875, -2.70312, -2.48438 
0.00906, -0.26562, -7.91406, 0.06250 
0.00937, 0.66406, -9.26562, 0.83594 
0.00969, 0.93750, -6.33594, 2.75000 
0.01000, 0.93750, -1.05469, 2.64844 
0.01031, -0.21094, 5.98438, 3.50000 
0.01063, 0.39844, 8.88281, 2.18750 
0.01094, -1.50000, 8.96875, 1.07812 
0.01125, -1.17969, 3.87500, -0.80469 
0.01156, 0.69531, -1.77344, -2.80469 
0.01188, -0.27344, -7.67969, -1.28906 
0.01219, 1.38281, -9.14062, 0.14062 
0.01250, 1.00000, -7.06250, 3.48438 
0.01281, 0.28125, -1.55469, 3.67188 
0.01312, 0.21094, 5.43750, 3.38281 
0.01344, -0.13281, 8.50000, 1.75781 
0.01375, -0.82812, 9.20312, 0.64062 
0.01406, -1.39062, 4.63281, -0.31250 
0.01438, 0.39844, -0.95312, -2.08594 
0.01469, -0.05469, -6.67969, -1.33594 
0.01500, 1.09375, -8.92188, -0.10938 
0.01531, 1.29688, -7.51562, 2.53906 
0.01562, 0.35938, -2.39844, 3.87500 
0.01594, 0.58594, 4.35156, 3.74219 
0.01625, -0.67188, 8.27344, 2.39062 
0.01656, -0.73438, 9.25000, 0.67188 
0.01688, -0.75781, 5.59375, -1.17188 
0.01719, -0.54688, -0.31250, -1.62500 
0.01750, 0.46875, -6.03125, -1.40625 
0.01781, 0.46875, -6.03125, -1.40625 
0.01812, 0.53906, -8.75781, 0.53125 
0.01844, 1.31250, -8.05469, 1.92969 
0.01875, 0.54688, -2.82812, 3.59375 
0.01906, 0.59375, 3.27344, 3.21875 
0.01937, -0.35938, 8.17969, 2.95312 
0.01969, -0.77344, 9.42969, 0.70312 
0.02000, -0.54688, 6.24219, -0.50000 
0.02031, -1.19531, 0.60156, -1.18750 
0.02063, 0.46094, -5.56250, -1.93750 
0.02094, 0.62500, -8.50781, -0.25781 
0.02125, 1.32031, -8.75000, 1.67969 
0.02156, 0.62500, -3.21094, 3.78906 
0.02188, 0.77344, 2.28125, 3.40625 
0.02219, -0.04688, 7.85156, 3.39062 
0.02250, -1.23438, 9.32031, 0.98438 
0.02281, -0.25000, 6.34375, -0.40625 
0.02312, -1.00000, 1.42969, -1.61719 
0.02344, -0.25781, -5.34375, -1.56250 
0.02375, 1.52344, -8.07812, -1.22656 
0.02406, 0.61719, -9.17969, 2.09375 
0.02438, 0.87500, -3.79688, 3.18750 
0.02469, 0.74219, 1.28125, 3.71875 
0.02500, -0.09375, 7.24219, 3.27344 
0.02531, -1.32812, 9.26562, 1.23438 
0.02563, 0.46094, 7.06250, -0.72656 
0.02594, -2.19531, 2.10156, -0.67188 
0.02625, 0.75000, -4.55469, -2.28906 
0.02656, 0.80469, -8.11719, -0.85938 
0.02687, 0.82031, -9.56250, 1.46875 
0.02719, 0.96094, -4.57812, 3.25781 
0.02750, 0.80469, 0.45312, 3.57031 
0.02781, -0.45312, 7.14844, 3.59375 
0.02813, -0.14062, 9.27344, 1.21875 
0.02844, -1.12500, 7.58594, -0.28906 
0.02875, -0.39062, 2.56250, -1.24219 
0.02906, -0.81250, -3.77344, -1.16406 
0.02938, -0.81250, -3.77344, -1.16406 
0.02969, 0.91406, -8.50000, -1.37500 
0.03000, 0.89844, -5.56250, 3.02344 
0.03031, 0.89844, -5.56250, 3.02344 
0.03062, 0.60938, 0.07031, 3.85156 
0.03094, -0.10156, 6.71875, 3.74219 
0.03125, -0.53125, 9.14844, 2.09375 
0.03156, -0.87500, 8.06250, -0.55469 
0.03188, -0.25781, 3.07812, -1.34375 
0.03219, -1.06250, -2.91406, -1.19531 
0.03250, 1.20312, -8.20312, -1.34375 
0.03281, 0.50000, -9.00781, 0.84375 
0.03313, 1.33594, -6.32812, 2.62500 
