time, x, y, z
0.00000, 0.00000, -4.66406, -1.57812 
0.00031, 1.17188, -8.28125, -1.50781 
0.00063, 0.00000, -9.06250, 0.83594 
0.00094, 1.75000, -4.56250, 2.24219 
0.00125, 1.75000, -4.56250, 2.24219 
0.00156, -0.16406, 7.16406, 2.15625 
0.00187, 0.24219, 8.94531, 0.77344 
0.00219, 0.24219, 8.94531, 0.77344 
0.00250, -0.96875, 7.36719, -0.12500 
0.00281, -0.78906, 2.31250, -1.25000 
0.00313, 0.03906, -3.47656, -1.90625 
0.00344, 0.54688, -7.89062, -1.88281 
0.00375, 1.05469, -9.19531, -0.47656 
0.00406, 2.01562, -5.96094, 1.45312 
0.00438, -1.66406, -0.42969, 3.39844 
0.00469, 1.50000, 6.22656, 1.63281 
0.00500, 1.50000, 6.22656, 1.63281 
0.00531, 1.50000, 6.22656, 1.63281 
0.00562, 1.50000, 6.22656, 1.63281 
0.00594, 0.37500, -2.07812, -1.80469 
0.00625, -0.26562, -7.39062, -0.58594 
0.00656, 1.49219, -8.92188, -0.52344 
0.00688, -0.39844, -6.71094, 2.32812 
0.00719, 1.45312, -1.21875, 2.82031 
0.00750, 0.00000, 5.54688, 3.90625 
0.00781, -0.72656, 9.05469, 2.84375 
0.00813, 0.00781, 8.89844, 0.50000 
0.00844, -1.07812, 4.37500, 0.00000 
0.00875, 0.17188, -1.32031, -1.01562 
0.00906, 0.12500, -6.75781, -0.09375 
0.00937, 0.95312, -8.97656, 0.65625 
0.00969, 1.05469, -7.57031, 2.68750 
0.01000, 0.62500, -2.10938, 3.50781 
0.01031, 0.07812, 4.30469, 4.12500 
0.01063, -0.52344, 8.46094, 3.45312 
0.01094, -0.99219, 9.21875, 1.46875 
0.01125, -0.41406, 5.35156, 0.00000 
0.01156, -0.25000, -0.23438, -0.71094 
0.01188, 0.08594, -6.08594, -0.03125 
0.01219, 1.05469, -8.61719, 0.78125 
0.01250, 0.89844, -8.34375, 2.37500 
0.01281, 0.73438, -2.80469, 3.17188 
0.01312, 0.73438, -2.80469, 3.17188 
0.01344, -0.26562, 7.87500, 3.07812 
