time, x, y, z
0.00000, 0.06250, 0.04688, 0.94531 
0.00031, 0.06250, 0.04688, 0.94531 
0.00063, 0.08594, 0.03125, 0.93750 
0.00094, 0.07031, 0.05469, 0.95312 
0.00125, 0.06250, 0.06250, 0.92188 
0.00156, 0.08594, 0.06250, 0.92188 
0.00187, 0.08594, 0.07031, 0.92969 
0.00219, 0.07031, 0.07031, 0.93750 
0.00250, 0.10938, 0.04688, 0.91406 
0.00281, 0.08594, 0.05469, 0.92188 
0.00313, 0.13281, 0.08594, 0.94531 
0.00344, 0.10156, 0.05469, 0.95312 
0.00375, 0.08594, 0.03906, 0.92188 
0.00406, 0.08594, 0.05469, 0.89844 
0.00438, 0.14062, 0.07031, 0.96094 
0.00469, 0.08594, 0.07031, 0.96094 
0.00500, 0.06250, 0.09375, 0.91406 
0.00531, 0.05469, 0.07031, 0.92188 
0.00562, 0.07031, 0.07031, 1.01562 
0.00594, 0.15625, 0.06250, 0.95312 
0.00625, 0.10938, 0.07031, 0.92969 
0.00656, 0.10938, 0.06250, 0.93750 
0.00688, 0.09375, 0.05469, 0.96094 
0.00719, 0.11719, 0.06250, 0.92969 
0.00750, 0.10938, 0.03906, 0.94531 
0.00781, 0.07031, 0.04688, 0.92188 
0.00813, 0.10156, 0.06250, 0.94531 
0.00844, 0.09375, 0.10938, 0.91406 
0.00875, 0.11719, 0.11719, 0.92188 
0.00906, 0.11719, 0.11719, 0.89062 
0.00937, 0.11719, 0.08594, 0.89062 
0.00969, 0.10156, 0.03125, 0.89062 
0.01000, 0.11719, 0.10938, 0.96875 
0.01031, 0.11719, 0.12500, 0.93750 
0.01063, 0.11719, 0.12500, 0.93750 
0.01094, 0.08594, 0.05469, 0.96094 
0.01125, 0.10156, 0.03906, 0.96094 
0.01156, 0.09375, 0.10938, 0.94531 
0.01188, 0.10156, 0.10938, 0.96094 
0.01219, 0.10156, 0.03125, 0.95312 
0.01250, 0.10156, 0.05469, 0.97656 
0.01281, 0.10938, 0.04688, 0.96094 
0.01312, 0.10938, 0.11719, 0.92969 
0.01344, 0.09375, 0.07031, 0.94531 
0.01375, 0.09375, 0.04688, 0.92969 
0.01406, 0.10156, 0.06250, 0.94531 
0.01438, 0.10156, 0.03125, 0.94531 
0.01469, 0.07812, 0.13281, 0.92969 
0.01500, 0.10938, 0.07812, 0.98438 
0.01531, 0.10156, 0.07031, 0.96094 
0.01562, 0.10938, 0.03125, 0.94531 
0.01594, 0.06250, 0.08594, 0.90625 
0.01625, 0.06250, 0.08594, 1.01562 
0.01656, 0.14844, 0.04688, 0.98438 
0.01688, 0.08594, 0.08594, 0.95312 
0.01719, 0.07812, 0.09375, 0.94531 
0.01750, 0.08594, 0.06250, 0.94531 
0.01781, 0.10938, 0.07812, 0.95312 
0.01812, 0.09375, 0.00781, 0.96875 
0.01844, 0.06250, 0.03125, 0.93750 
0.01875, 0.10156, 0.06250, 0.98438 
0.01906, 0.10156, 0.03125, 0.94531 
0.01937, 0.10938, 0.04688, 0.96875 
0.01969, 0.07812, 0.02344, 0.92969 
0.02000, 0.12500, 0.04688, 0.92969 
0.02031, 0.07812, 0.06250, 0.93750 
0.02063, 0.09375, 0.04688, 0.93750 
0.02094, 0.07031, 0.02344, 0.95312 
0.02125, 0.08594, 0.05469, 0.92969 
0.02156, 0.09375, 0.05469, 0.94531 
0.02188, 0.09375, 0.07031, 0.90625 
0.02219, 0.09375, 0.07031, 0.90625 
0.02250, 0.11719, 0.06250, 0.92969 
0.02281, 0.07812, 0.07031, 0.96875 
0.02312, 0.08594, 0.07031, 0.95312 
0.02344, 0.09375, 0.06250, 0.98438 
0.02375, 0.10938, 0.00000, 0.96094 
0.02406, 0.11719, 0.06250, 1.00000 
0.02438, 0.09375, 0.01562, 0.94531 
0.02469, 0.10156, 0.03906, 0.96094 
0.02500, 0.10938, 0.01562, 0.96094 
0.02531, 0.09375, 0.00000, 0.95312 
0.02563, 0.07812, 0.02344, 0.96875 
0.02594, 0.10156, 0.06250, 0.97656 
0.02625, 0.11719, 0.00000, 0.96875 
