time, x, y, z
0.00000, -0.15625, 0.02344, 0.92188 
0.00031, 0.21875, -0.08594, 0.57031 
0.00063, -0.42188, -0.03125, 1.19531 
0.00094, 0.09375, -0.21875, 0.78906 
0.00125, 0.03906, -0.06250, 0.74219 
0.00156, -0.31250, -0.05469, 1.21875 
0.00187, 0.26562, 0.02344, 0.75781 
0.00219, -0.23438, 0.00000, 1.03125 
0.00250, -0.25000, 0.20312, 1.05469 
0.00281, 0.18750, 0.07031, 0.58594 
0.00313, -0.32812, 0.15625, 1.15625 
0.00344, 0.00781, 0.10938, 0.89844 
0.00375, 0.01562, 0.23438, 0.78906 
0.00406, -0.34375, 0.17969, 1.13281 
0.00438, -0.34375, 0.17969, 1.13281 
0.00469, -0.07031, 0.20312, 0.87500 
0.00500, 0.01562, 0.08594, 0.75000 
0.00531, -0.28906, -0.14062, 1.12500 
0.00562, 0.03906, 0.06250, 0.80469 
0.00594, 0.00781, -0.22656, 0.79688 
0.00625, -0.39844, 0.03906, 1.04688 
0.00656, 0.20312, -0.25000, 0.59375 
0.00688, -0.21094, -0.13281, 0.99219 
0.00719, -0.23438, -0.19531, 1.11719 
0.00750, 0.32812, -0.13281, 0.58594 
0.00781, -0.36719, -0.07031, 1.17188 
0.00813, 0.00000, 0.01562, 0.90625 
0.00844, 0.07031, 0.02344, 0.72656 
0.00875, -0.40625, 0.07031, 1.23438 
0.00906, 0.25000, 0.12500, 0.71875 
0.00937, -0.12500, 0.08594, 0.98438 
0.00969, -0.12500, 0.08594, 0.98438 
0.01000, -0.12500, 0.08594, 0.98438 
0.01031, -0.23438, 0.18750, 0.96094 
0.01063, -0.11719, 0.05469, 1.00000 
0.01094, -0.03906, 0.25000, 0.71094 
0.01125, -0.16406, -0.07812, 0.98438 
0.01156, -0.21875, 0.14844, 1.05469 
0.01188, 0.09375, -0.12500, 0.70312 
0.01219, -0.18750, 0.08594, 1.05469 
0.01250, -0.12500, -0.00781, 0.99219 
0.01281, 0.00000, -0.03906, 0.68750 
